sample_id,dataset_source,subset,image_filename,image_path,file_sha256,width,height,channels,blur_variance,brightness_mean,contrast_std,r_mean,g_mean,b_mean,r_std,g_std,b_std,h_mean,s_mean,v_mean,lab_l_mean,lab_a_mean,lab_b_mean,ground_truth_drug,drug_family,concentration,cutting_agent,presumptive_label,device,lighting,lab_confirmation,is_duplicate,split
BLINDED_2WN,PMC7332374_NIHMS1576105_idPAD,blinded_study,image34.jpeg,storage/processed_images/idpad/image34.jpeg,4c95f8e60a1d812463dd02a7132854cd1bed44d7ebc01a44c2dc3afca2f862da,294,165,3,2595.27,206.72,51.57,207.15,206.48,206.89,52.43,51.48,52.02,60.84,11.06,210.75,210.55,128.38,127.95,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_34W,PMC7332374_NIHMS1576105_idPAD,blinded_study,image37.jpeg,storage/processed_images/idpad/image37.jpeg,13634e2a66448edae4a1ed88aea2498729516f44805daaef287aa5eaea8bfb1d,315,177,3,2338.82,202.22,55.45,201.8,202.76,200.36,55.74,55.28,58.94,49.14,20.63,208.29,206.46,127.42,129.23,Crack Cocaine 1,COCAINE_SERIES,100%,Cut with Nicotinamide,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_3FS,PMC7332374_NIHMS1576105_idPAD,blinded_study,image38.jpeg,storage/processed_images/idpad/image38.jpeg,552081cae226f5533bc60576112e4ca059032e6e9c04639cf4991583bb915591,307,173,3,3208.22,193.9,62.61,195.42,194.17,188.52,62.67,62.45,64.97,29.21,17.9,197.28,198.11,127.53,131.17,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_3GM,PMC7332374_NIHMS1576105_idPAD,blinded_study,image39.jpeg,storage/processed_images/idpad/image39.jpeg,83926d9551f7e57a99d9c3faa22e17e06e881c21d2a388fc4925a165f6f18bbc,306,172,3,2832.6,201.28,55.13,200.92,201.48,201.06,55.64,55.03,55.84,53.24,9.62,204.33,205.42,127.81,128.18,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_3LS,PMC7332374_NIHMS1576105_idPAD,blinded_study,image40.jpeg,storage/processed_images/idpad/image40.jpeg,aa6ed787f9f23284635742aeb213d0e701cb5bb21d0951571a63d18bc0271c2e,315,177,3,2822.26,204.91,57.22,204.13,205.07,205.97,58.02,57.11,57.94,50.6,15.91,210.36,208.62,127.98,127.48,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_3PV,PMC7332374_NIHMS1576105_idPAD,blinded_study,image41.jpeg,storage/processed_images/idpad/image41.jpeg,f9c46825fcc708145997f2ebd0a930ef4b72bf8d3d16d6eb971de2dacf49fab5,296,166,3,3026.76,203.57,54.61,204.85,203.77,199.2,55.02,54.44,57.3,44.34,18.27,208.35,207.69,127.7,130.52,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_44U,PMC7332374_NIHMS1576105_idPAD,blinded_study,image44.jpeg,storage/processed_images/idpad/image44.jpeg,2f2283ad6c733859d4335a74aa0f9a6590b709400abe158ac2e2caa2b5a02b0a,293,165,3,2822.99,202.6,55.42,204.53,202.7,197.0,55.71,55.21,58.32,31.96,18.08,207.03,206.73,127.77,131.2,Crack Cocaine 1,COCAINE_SERIES,100%,Cut with Nicotinamide,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_44Y,PMC7332374_NIHMS1576105_idPAD,blinded_study,image45.jpeg,storage/processed_images/idpad/image45.jpeg,0f31b175b487a2d0923a5f19d132bcb14279d70b8d5090f6a0a29a6b4d436af8,291,164,3,2077.84,197.37,56.84,194.82,198.2,199.63,58.06,56.39,58.08,62.44,16.1,203.13,201.92,127.21,126.92,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4AZ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image46.jpeg,storage/processed_images/idpad/image46.jpeg,9bf7df60bfc3f1dc5233f08b19789d6a0ecfc5c1fd0c7344f0c15ff6f9c35cfb,302,170,3,2828.34,201.7,56.97,198.92,202.57,204.52,60.53,56.14,56.09,60.73,17.54,207.48,206.03,127.35,126.65,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4D9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image47.jpeg,storage/processed_images/idpad/image47.jpeg,e78ca387bd67149443812a51b72ab628e4a0a7d38353e6e1dfddf7457e4c763c,310,174,3,3043.56,200.54,58.38,199.38,200.87,201.88,59.67,58.13,58.47,55.87,12.89,204.96,204.59,127.81,127.35,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4J9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image48.jpeg,storage/processed_images/idpad/image48.jpeg,f940d9a6e51485f8b5efadcf7360e0c9bb7d1817539a1ff5a86094de044a4d5d,300,169,3,2514.99,199.82,56.38,200.37,200.06,197.15,57.4,56.23,56.48,30.92,12.67,203.07,204.1,127.74,129.53,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4RD,PMC7332374_NIHMS1576105_idPAD,blinded_study,image50.jpeg,storage/processed_images/idpad/image50.jpeg,fcbabfb0acda8fd12742f4fd662118dd4e7b0fd978b7b6d87dfe4cbf3af27450,301,169,3,2550.65,189.07,63.34,184.12,190.87,192.87,65.04,62.92,63.4,69.23,18.51,194.67,194.01,126.17,126.23,Cocaine HCl,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4TL,PMC7332374_NIHMS1576105_idPAD,blinded_study,image51.jpeg,storage/processed_images/idpad/image51.jpeg,d66daabdbb3a735773f102cb8315f94b8ddda16e95a7c75115f64021fcd62ed6,308,173,3,2450.22,190.03,63.96,191.17,190.38,185.28,64.37,63.7,65.51,28.73,14.98,193.0,194.45,127.43,130.78,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4TT,PMC7332374_NIHMS1576105_idPAD,blinded_study,image52.jpeg,storage/processed_images/idpad/image52.jpeg,91144eb9b8351535a0bb68c3d2ef31b09721ad4fb0f892d1b4f275f1f5948571,299,168,3,2696.89,199.74,57.71,200.29,199.93,197.24,58.13,57.64,58.66,35.48,11.76,202.73,203.88,127.75,129.46,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4V8,PMC7332374_NIHMS1576105_idPAD,blinded_study,image53.jpeg,storage/processed_images/idpad/image53.jpeg,7162f4e426fd18db3a81dc204ee541089f917579e8502ea992ad7c5dd5d9ef14,294,165,3,2933.87,198.0,59.72,197.7,198.22,197.58,60.16,59.6,60.69,47.43,11.81,201.41,202.08,127.79,128.3,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_4VQ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image55.jpeg,storage/processed_images/idpad/image55.jpeg,9377bae5e9fb86ec6a53065232977acfe50c6afa191f2f4070261224cb8b2ba3,302,170,3,2528.4,196.32,56.61,199.33,195.79,191.09,55.75,56.78,60.07,46.69,19.46,201.23,200.64,128.53,130.95,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_52M,PMC7332374_NIHMS1576105_idPAD,blinded_study,image57.jpeg,storage/processed_images/idpad/image57.jpeg,fe7bdf22eca8dfec346ffb2930eea257f8c99c1236382c3caae304982f654e8a,298,168,3,2246.87,191.98,61.99,189.68,192.86,193.42,63.02,61.49,63.71,60.67,15.63,197.05,196.54,127.08,127.39,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_57H,PMC7332374_NIHMS1576105_idPAD,blinded_study,image58.jpeg,storage/processed_images/idpad/image58.jpeg,5b9c180a6e0a61d9f53a4c9ee18ed14d46d356d198802778f26d52d89bfe2034,304,171,3,2290.93,194.29,60.36,192.07,194.97,196.56,61.16,60.04,61.33,66.22,13.11,199.13,198.73,127.34,126.88,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5BS,PMC7332374_NIHMS1576105_idPAD,blinded_study,image59.jpeg,storage/processed_images/idpad/image59.jpeg,7238d9c5d2d78f85672a0affef7723539d9b21149ed1b6ef364d3c9734906241,303,170,3,2906.0,207.06,52.7,207.59,207.12,205.33,52.94,52.65,54.29,46.31,12.3,210.83,210.89,127.93,129.0,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5C6,PMC7332374_NIHMS1576105_idPAD,blinded_study,image60.jpeg,storage/processed_images/idpad/image60.jpeg,462a444d1a61bd18b17147f4aedf7f072290dfca0d2c1a1edfb89b5c76cd663c,297,167,3,3025.88,200.44,57.63,197.42,200.81,206.18,58.99,57.41,57.12,75.66,17.5,207.71,204.51,127.97,124.87,Heroin,HEROIN_OPIOID,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5ET,PMC7332374_NIHMS1576105_idPAD,blinded_study,image61.jpeg,storage/processed_images/idpad/image61.jpeg,e9a952c7c2cdd27f98ccbe052d12b4fd3075dc42b811698b4d85e3ae79886780,310,174,3,2524.92,200.87,57.64,198.99,201.39,203.04,58.8,57.32,57.94,62.54,11.81,205.23,204.98,127.56,126.9,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5JK,PMC7332374_NIHMS1576105_idPAD,blinded_study,image63.jpeg,storage/processed_images/idpad/image63.jpeg,506a19ae2791d08ae65a74ccc12374656e8a0a47cc0ae5a8b906b47ebbe494fa,310,174,3,2581.47,193.51,58.32,191.76,194.33,193.76,61.33,57.78,56.79,42.14,14.89,197.6,198.34,127.35,127.98,Cocaine HCl,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5PX,PMC7332374_NIHMS1576105_idPAD,blinded_study,image64.jpeg,storage/processed_images/idpad/image64.jpeg,d4ab2e91594b2d58415f32f180f30969b9cfcc787744e2621d2b7e1ed5eea8b3,301,169,3,2377.92,211.1,53.5,209.65,211.55,212.6,57.37,52.78,53.35,53.07,18.59,217.35,214.78,127.85,127.38,Heroin,HEROIN_OPIOID,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5UJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image66.jpeg,storage/processed_images/idpad/image66.jpeg,7ab585455c09542f3e2aad8477a56e5e0315928df208a2142aa3a44a3b743166,297,167,3,2506.89,193.01,61.75,195.66,193.03,185.99,61.22,61.65,65.31,24.93,20.4,197.1,197.36,127.78,132.08,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_5Y7,PMC7332374_NIHMS1576105_idPAD,blinded_study,image67.jpeg,storage/processed_images/idpad/image67.jpeg,7e8393cc47477be5fc9fb0cba28799c3cb786678f2c4b589fa71b4d1a9c84837,302,170,3,2703.15,197.54,59.82,198.12,197.65,195.44,59.71,59.8,61.68,44.4,13.21,200.91,201.63,127.85,129.27,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_67U,PMC7332374_NIHMS1576105_idPAD,blinded_study,image68.jpeg,storage/processed_images/idpad/image68.jpeg,6e3b8daeb122dc2fddefeb4408698a760cb3100969bcb4ad0280703d52929b71,296,167,3,2663.98,207.44,55.48,207.82,207.72,204.98,55.98,55.31,56.8,32.58,12.11,210.43,211.16,127.67,129.43,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_6SN,PMC7332374_NIHMS1576105_idPAD,blinded_study,image73.jpeg,storage/processed_images/idpad/image73.jpeg,6aea1e1e9edab9eecf982bbacf732f39cc9e35b3073457d834da1b164a0491a4,297,167,3,2252.22,187.73,66.0,185.4,188.48,189.95,66.81,65.67,67.22,64.95,15.32,192.65,192.21,127.25,126.94,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_7QD,PMC7332374_NIHMS1576105_idPAD,blinded_study,image77.jpeg,storage/processed_images/idpad/image77.jpeg,80aebc3700b39152b2f21e656b124e66d60cdccfd3adaffb0b48c7c3efcaa750,301,169,3,2718.75,200.8,57.5,200.38,201.16,200.0,59.26,57.18,56.65,42.78,11.63,204.06,204.97,127.69,128.51,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_7W4,PMC7332374_NIHMS1576105_idPAD,blinded_study,image78.jpeg,storage/processed_images/idpad/image78.jpeg,e23a3de8a180f54c6ef8df08b62da42e94c9c4aa6bec74fb4d87e5f6d0730e52,295,166,3,2746.93,196.21,58.55,192.77,197.35,199.31,62.24,57.4,58.13,62.67,18.25,202.01,200.94,126.97,126.54,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_8F4,PMC7332374_NIHMS1576105_idPAD,blinded_study,image79.jpeg,storage/processed_images/idpad/image79.jpeg,8913b63c092b80520b2fd522740faa2db4a110a9d46d7bd97f1681af7130ce11,298,168,3,2209.42,195.3,59.12,195.96,195.55,192.22,58.75,59.02,62.19,44.83,14.38,198.46,199.67,127.6,129.87,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_8KJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image81.jpeg,storage/processed_images/idpad/image81.jpeg,14ba51d7358066ba99c85026b617f681d4ab2903dbefd1afaa837780bb1d2438,297,167,3,3093.81,199.88,56.52,195.12,201.24,205.29,58.41,56.05,56.25,77.43,18.97,206.87,204.4,126.77,125.26,Crack Cocaine 1,COCAINE_SERIES,100%,Cut with Nicotinamide,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_8RX,PMC7332374_NIHMS1576105_idPAD,blinded_study,image82.jpeg,storage/processed_images/idpad/image82.jpeg,85fd14587229678c7c1e25633603846e2115f7eea1c526eed7b7590542093ff8,307,173,3,3018.05,201.46,55.2,198.13,202.59,204.45,58.44,54.44,53.99,68.23,15.23,206.54,205.96,126.98,126.53,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_9C9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image85.jpeg,storage/processed_images/idpad/image85.jpeg,a5ac9b47c7917e47c5f366a268c6fbf423ff4418924bcc15e092d63f978b8808,303,170,3,3036.18,202.6,57.28,203.73,202.44,200.46,56.88,57.51,58.62,37.82,11.53,205.82,206.44,128.18,129.22,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_9JF,PMC7332374_NIHMS1576105_idPAD,blinded_study,image87.jpeg,storage/processed_images/idpad/image87.jpeg,16b54ed7fd49b2450141bbc5a6033732e8108fe4b2a5741e68ed2b1b03aee369,289,162,3,2627.05,203.4,54.92,201.89,204.25,203.01,56.13,54.55,55.77,54.78,10.93,206.65,207.64,127.04,128.39,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_9N4,PMC7332374_NIHMS1576105_idPAD,blinded_study,image88.jpeg,storage/processed_images/idpad/image88.jpeg,43fcb88145c6e4f5448c4e09c06a80943f4ad0762cbe477afd0921ef7910dc25,308,173,3,2309.27,189.41,62.66,187.79,189.85,191.31,62.44,62.65,65.05,58.29,16.86,195.04,193.95,127.67,127.11,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_9P5,PMC7332374_NIHMS1576105_idPAD,blinded_study,image89.jpeg,storage/processed_images/idpad/image89.jpeg,4e5eeda74d6b9df83618dac62d1215365caa03eb6df109a57aa3ef49de804b43,295,166,3,2845.47,206.24,55.48,208.15,206.41,200.34,55.46,55.34,58.33,27.34,16.38,210.01,210.07,127.64,131.35,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_9WN,PMC7332374_NIHMS1576105_idPAD,blinded_study,image90.jpeg,storage/processed_images/idpad/image90.jpeg,340855f0b9367a14e9351a75cdfd5ecddf158ef42b08717371ec9ae8d3de1cd6,297,167,3,2712.21,192.65,60.55,192.5,193.04,190.93,61.76,60.31,60.64,35.71,13.08,195.8,197.19,127.62,129.04,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
